2024-11-29 09:57:43,653 - [INFO] - ------------------------------------------------------------
2024-11-29 09:57:43,654 - [INFO] - On Validation Set:
	MSE of RRL  Model: 1.0595974922180176
2024-11-29 09:57:43,654 - [INFO] - ------------------------------------------------------------
2024-11-29 09:57:46,678 - [INFO] - epoch: 68, loss_rrl: 6.6982225477695465
2024-11-29 09:57:46,723 - [INFO] - epoch: 69, loss_rrl: 6.637627303600311
2024-11-29 09:57:46,769 - [INFO] - epoch: 70, loss_rrl: 6.506646126508713
2024-11-29 09:57:46,814 - [INFO] - epoch: 71, loss_rrl: 6.401727348566055
2024-11-29 09:57:46,859 - [INFO] - epoch: 72, loss_rrl: 6.268161207437515
2024-11-29 09:57:46,905 - [INFO] - epoch: 73, loss_rrl: 6.379255473613739
2024-11-29 09:57:46,951 - [INFO] - epoch: 74, loss_rrl: 6.287725389003754
2024-11-29 09:57:46,995 - [INFO] - epoch: 75, loss_rrl: 6.304536789655685
2024-11-29 09:57:47,041 - [INFO] - epoch: 76, loss_rrl: 6.376651048660278
2024-11-29 09:57:47,086 - [INFO] - epoch: 77, loss_rrl: 6.358324617147446
2024-11-29 09:57:47,131 - [INFO] - epoch: 78, loss_rrl: 6.365371644496918
2024-11-29 09:57:47,176 - [INFO] - epoch: 79, loss_rrl: 6.583353146910667
2024-11-29 09:57:47,221 - [INFO] - epoch: 80, loss_rrl: 6.495523244142532
2024-11-29 09:57:47,266 - [INFO] - epoch: 81, loss_rrl: 6.526744544506073
2024-11-29 09:57:47,311 - [INFO] - epoch: 82, loss_rrl: 6.4206558763980865
2024-11-29 09:57:47,355 - [INFO] - epoch: 83, loss_rrl: 6.466318428516388
2024-11-29 09:57:47,400 - [INFO] - epoch: 84, loss_rrl: 6.42404893040657
2024-11-29 09:57:47,449 - [INFO] - epoch: 85, loss_rrl: 6.224035859107971
2024-11-29 09:57:47,494 - [INFO] - epoch: 86, loss_rrl: 6.205850273370743
2024-11-29 09:57:47,539 - [INFO] - epoch: 87, loss_rrl: 6.236972689628601
2024-11-29 09:57:47,584 - [INFO] - epoch: 88, loss_rrl: 6.26789653301239
2024-11-29 09:57:47,629 - [INFO] - epoch: 89, loss_rrl: 6.3365345895290375
2024-11-29 09:57:47,675 - [INFO] - epoch: 90, loss_rrl: 6.261308878660202
2024-11-29 09:57:47,721 - [INFO] - epoch: 91, loss_rrl: 6.362298101186752
2024-11-29 09:57:47,766 - [INFO] - epoch: 92, loss_rrl: 6.309366315603256
2024-11-29 09:57:47,825 - [INFO] - epoch: 93, loss_rrl: 6.309393376111984
2024-11-29 09:57:47,872 - [INFO] - epoch: 94, loss_rrl: 6.298259973526001
2024-11-29 09:57:47,917 - [INFO] - epoch: 95, loss_rrl: 6.364109754562378
2024-11-29 09:57:47,962 - [INFO] - epoch: 96, loss_rrl: 6.253061145544052
